"id";"id_proceso";"nombre";"estado";"duracion";"duracionedit"
1;1,5;"Positivado y recortado";1;5;0
2;1;"Base y recortado";1;5;1
3;1;"Abrir y paralelizar";1;3;0
4;1;"Duplicado, placas y pins";1;3;0
5;1;"Pegado en articulador";1;2;1
6;1;"Montaje en articulador";1;3;0
7;1;"Individualización de muñones";1;5;1
8;2;"Escaneado de modelo";1;3;1
9;2;"Diseño de la estructura";1;2;0
10;2;"Control de diseño 3D";1;3;1
11;2;"Modelado en cera de la estructura";1;4;0
12;3;"Puesta en impresora/fresadora";1;6;0
13;3;"Sacar de impresora y limpiar";1;5;1
14;3;"Pinchar, vaciar y fundir cilindro";1;4;1
15;3;"Extracción, chorreado, repasado y pulido de estructura";1;3;0
16;3;"Control de la estructura";1;8;0
17;4;"Opaquer";1;4;1
18;4;"Colocación de cerámica";1;5;1
19;4;"Control de calidad";1;6;0
